"global_id";"ObjectName";"NameWinter";"PhotoWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";
"global_id";"Название спортивного объекта";"Название спортивной зоны в зимний период";"Фотография в зимний период";"Административный округ";"Район";"Адрес";"Адрес электронной почты";"Адрес сайта";"Справочный телефон";"Добавочный номер";"График работы в зимний период";"Уточнение графика работы в зимний период";"Возможность проката оборудования";"Комментарии для проката оборудования";"Наличие сервиса технического обслуживания";"Комментарии для сервиса технического обслуживания";"Наличие раздевалки";"Наличие точки питания";"Наличие туалета";"Наличие точки Wi-Fi";"Наличие банкомата";"Наличие медпункта";"Наличие звукового сопровождения";"Период эксплуатации в зимний период";"Размеры в зимний период";"Освещение";"Покрытие в зимний период";"Количество оборудованных посадочных мест";"Форма посещения (платность)";"Комментарии к стоимости посещения";"Приспособленность для занятий инвалидов";"Услуги предоставляемые в зимний период";"geoData";"geodata_center";
"2644348884";"Парк «Борисовские пруды»";"Площадка для игры в футбол, «Реалспорт арена»";"nested data";"Южный административный округ";"район Зябликово";"улица Маршала Захарова, дом 6, корпус 1";"info@park-kuzminki.ru";"www.park-kuzminki.ru";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"газонное покрытие (искусственное)";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.729362582, 55.628964586], type=Point}";"{coordinates=[37.729362582, 55.628964586], type=Point}";
"2644351264";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Западный административный округ";"район Филёвский Парк";"улица Барклая, дом 12";"uprava.fil-park@zao.mos.ru";"filevsky-park.mos.ru";"(499) 148-99-81";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.498666703, 55.745230348], type=Point}";"{coordinates=[37.498666703, 55.745230348], type=Point}";
"2644394235";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Северный административный округ";"Савёловский район";"улица Юннатов, дом 17, корпус 1";"sao-savel@mos.ru";"gbu-savelovskiy.moscow/";"(495) 614-07-82";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.04-30.11";"nested data";"освещение лампами накаливания";"специальное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.557301188, 55.802660258], type=Point}";"{coordinates=[37.557301188, 55.802660258], type=Point}";
"2644394258";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Юго-Восточный административный округ";"район Печатники";"улица Полбина, дом 60";"gbupechat@yandex.ru";"pechatniki.uvaogbu.ru/";"(495) 657-35-00";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.724065883, 55.673638598], type=Point}";"{coordinates=[37.724065883, 55.673638598], type=Point}";
"2644394266";"Спортивный комплекс образовательного учреждения";"Универсальная спортивная площадка";"nested data";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 13Б";"2026@edu.mos.ru";"sch2026v.mskobr.ru";"(499) 721-06-87";"";"nested data";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"да";"да";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"0";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.89526686, 55.721819282], type=Point}";"{coordinates=[37.89526686, 55.721819282], type=Point}";
"2644394270";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Южный административный округ";"район Чертаново Северное";"Сумской проезд, дом 8, корпус 3, строение 1";"315-50-36@mail.ru";"gbu-chs.ru/";"(495) 315-50-36";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение лампами накаливания";"специальное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.612046535, 55.635523878], type=Point}";"{coordinates=[37.612046535, 55.635523878], type=Point}";
"2644394343";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Северо-Восточный административный округ";"район Отрадное";"Берёзовая аллея, дом 7";"otrorg@svao.mos.ru";"otradnoe.mos.ru";"(499) 907-21-08";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.611189231, 55.852504498], type=Point}";"{coordinates=[37.611189231, 55.852504498], type=Point}";
"2644394344";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Северо-Восточный административный округ";"район Отрадное";"Северный бульвар, дом 19А";"otrorg@svao.mos.ru";"otradnoe.mos.ru";"(499) 907-21-08";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.616799076, 55.870860903], type=Point}";"{coordinates=[37.616799076, 55.870860903], type=Point}";
"2644394345";"Дворовая территория";"Универсальная спортивная площадка";"nested data";"Северо-Восточный административный округ";"район Отрадное";"Северный бульвар, дом 7А";"otrorg@svao.mos.ru";"otradnoe.mos.ru";"(495) 708-44-69";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение газоразрядными лампами";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.605639972, 55.868738029], type=Point}";"{coordinates=[37.605639972, 55.868738029], type=Point}";
